platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,6de1308a-fee4-44da-b0d6-8378c6ec5149,2932dc95-5957-4a55-9a75-f98c7ce461d5,1024,True,1,0,350.0,350.0,73.91796875,73.91796875,0,0,10.764072
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,6de1308a-fee4-44da-b0d6-8378c6ec5149,c3b9903c-1b5f-49ed-a600-3f137e9b9f1b,1024,False,1,0,350.0,350.00000000000006,74.01953125,74.01953125,0,0,12.007415
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,6de1308a-fee4-44da-b0d6-8378c6ec5149,2d827c3b-23be-4a6f-9fdf-28ac1a6b955b,1024,False,1,0,350.0,350.00000000000006,73.7890625,73.7890625,0,0,8.203654
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,6de1308a-fee4-44da-b0d6-8378c6ec5149,28c0c83f-6eb1-4d8b-9c96-ec54bd989110,1024,False,1,0,350.0,350.00000000000006,73.875,73.875,0,0,9.205909
docker_ubuntu22_on_ubuntu20,mixed_touch_cpu,6de1308a-fee4-44da-b0d6-8378c6ec5149,16bff3f0-ab91-40f5-a308-f352157a295f,1024,False,1,0,350.0,350.0,73.84375,73.84375,0,0,9.130408
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,a7db0dd1-ed6c-4c38-b363-b5baee6bc639,128,True,1,0,1160.0,1160.0,7.6640625,7.6640625,0,0,24.460265
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,bb4a3c5c-b3ed-49ec-bff2-09f1717e3862,128,False,1,0,1170.0,1170.0,7.78125,7.78125,0,0,27.093253
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,7113dce4-7cd6-4f07-8771-f88da9892c54,128,False,1,0,1160.0,1160.0,7.62109375,7.62109375,0,0,26.132868
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,ec6f42a5-6b41-49ca-8b1c-b7711882db9c,128,False,1,0,1170.0,1160.0,7.90625,7.90625,0,0,34.513095
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,4ff4fbe5-a43a-423d-aa38-f7dfe68d9f4d,128,False,1,0,1190.0,1180.0,7.6171875,7.6171875,0,0,39.234458
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,516cd12e-835a-4d80-96f9-afaf2ac4adad,128,True,1,0,1160.0,1160.0,7.71875,7.71875,0,0,27.621633
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,527ea3f3-ec3c-483e-ae3d-c7b24b010045,128,False,1,0,1190.0,1190.0,7.74609375,7.74609375,0,0,30.524275
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,1b490452-240e-43f3-926f-139a0b3dca68,128,False,1,0,1160.0,1160.0,8.0,8.0,0,0,28.927905
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,1bfe0a5f-8c1f-445f-909d-b85c47b20363,128,False,1,0,1300.0,1300.0,7.68359375,7.68359375,0,0,28.13744
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,634430a4-3c10-45a6-a273-fb106d680268,128,False,1,0,1160.0,1160.0,7.8828125,7.8828125,0,0,35.10959
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,06fec352-1aac-4b00-a701-c00c67926fb9,128,True,1,0,1160.0,1160.0,7.625,7.625,0,0,33.511633
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,9dc297e5-1342-4750-94d3-6395648e2e57,128,False,1,0,1150.0,1150.0,7.6875,7.6875,0,0,25.804927
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,be2c4b00-73a3-4f27-9b65-7652b23ace89,128,False,1,0,1210.0,1210.0,7.66796875,7.66796875,0,0,25.495479
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,935a8902-941f-4f93-8866-c23a75094a95,128,False,1,0,1150.0,1140.0,7.66796875,7.66796875,0,0,25.516292
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,29af7aef-7840-40c7-a6af-10d7620a27d9,128,False,1,0,1210.0,1210.0,7.86328125,7.86328125,0,0,28.085865
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,1bb769ba-6fbf-4a91-bd93-eeec759ad719,128,True,1,0,1150.0,1140.0,8.0,8.0,0,0,25.40704
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,58cd699b-e861-44ef-9599-e948bf941cc3,128,False,1,0,1270.0,1270.0,7.81640625,7.81640625,0,0,27.642507
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,620fc1f0-9ad1-49a2-ab7d-741527a2ae02,128,False,1,0,1190.0,1190.0,7.90234375,7.90234375,0,0,25.261288
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,c06ff641-8d84-498f-a6fc-db666d508b50,128,False,1,0,1190.0,1190.0,7.75,7.75,0,0,27.389396
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,d5a5b5aa-fc50-4da0-b8c2-4fb24a8536d3,128,False,1,0,1150.0,1150.0,7.84375,7.84375,0,0,27.643728
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,144a97b0-8e84-4018-8b6b-8df912a5c1b3,128,True,1,0,1190.0,1190.0,7.765625,7.765625,0,0,27.217215
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,cfbc56a8-5317-49e5-b21c-9b184b611297,128,False,1,0,1150.0,1150.0,7.96875,7.96875,0,0,25.632076
